,LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%),State FIPS,County FIPS
346,CN1205300000000,12.0,53.0,"Hernando County, FL",10,66620.0,57567.0,9053.0,13.6,12.0,53.0
347,CN1205500000000,12.0,55.0,"Highlands County, FL",10,37330.0,32647.0,4683.0,12.5,12.0,55.0
348,CN1205700000000,12.0,57.0,"Hillsborough County, FL",10,647089.0,577440.0,69649.0,10.8,12.0,57.0
349,CN1205900000000,12.0,59.0,"Holmes County, FL",10,7206.0,6456.0,750.0,10.4,12.0,59.0
350,CN1206100000000,12.0,61.0,"Indian River County, FL",10,61521.0,52945.0,8576.0,13.9,12.0,61.0
351,CN1206300000000,12.0,63.0,"Jackson County, FL",10,18974.0,17245.0,1729.0,9.1,12.0,63.0
352,CN1206500000000,12.0,65.0,"Jefferson County, FL",10,6055.0,5453.0,602.0,9.9,12.0,65.0
353,CN1206700000000,12.0,67.0,"Lafayette County, FL",10,3411.0,3162.0,249.0,7.3,12.0,67.0
354,CN1206900000000,12.0,69.0,"Lake County, FL",10,134329.0,118459.0,15870.0,11.8,12.0,69.0
355,CN1207100000000,12.0,71.0,"Lee County, FL",10,283878.0,248243.0,35635.0,12.6,12.0,71.0
356,CN1207300000000,12.0,73.0,"Leon County, FL",10,150280.0,138325.0,11955.0,8.0,12.0,73.0
357,CN1207500000000,12.0,75.0,"Levy County, FL",10,17371.0,15290.0,2081.0,12.0,12.0,75.0
358,CN1207700000000,12.0,77.0,"Liberty County, FL",10,2939.0,2680.0,259.0,8.8,12.0,77.0
359,CN1207900000000,12.0,79.0,"Madison County, FL",10,7962.0,7161.0,801.0,10.1,12.0,79.0
360,CN1208100000000,12.0,81.0,"Manatee County, FL",10,147977.0,130987.0,16990.0,11.5,12.0,81.0
361,CN1208300000000,12.0,83.0,"Marion County, FL",10,132654.0,114504.0,18150.0,13.7,12.0,83.0
362,CN1208500000000,12.0,85.0,"Martin County, FL",10,66777.0,59579.0,7198.0,10.8,12.0,85.0
363,CN1208600000000,12.0,86.0,"Miami-Dade County, FL",10,1241467.0,1088114.0,153353.0,12.4,12.0,86.0
364,CN1208700000000,12.0,87.0,"Monroe County, FL",10,42271.0,38975.0,3296.0,7.8,12.0,87.0
365,CN1208900000000,12.0,89.0,"Nassau County, FL",10,35875.0,32052.0,3823.0,10.7,12.0,89.0
366,CN1209100000000,12.0,91.0,"Okaloosa County, FL",10,89227.0,81690.0,7537.0,8.4,12.0,91.0
367,CN1209300000000,12.0,93.0,"Okeechobee County, FL",10,18142.0,15845.0,2297.0,12.7,12.0,93.0
368,CN1209500000000,12.0,95.0,"Orange County, FL",10,636688.0,567495.0,69193.0,10.9,12.0,95.0
369,CN1209700000000,12.0,97.0,"Osceola County, FL",10,137693.0,120469.0,17224.0,12.5,12.0,97.0
370,CN1209900000000,12.0,99.0,"Palm Beach County, FL",10,647357.0,575938.0,71419.0,11.0,12.0,99.0
371,CN1210100000000,12.0,101.0,"Pasco County, FL",10,207896.0,182923.0,24973.0,12.0,12.0,101.0
372,CN1210300000000,12.0,103.0,"Pinellas County, FL",10,466314.0,415603.0,50711.0,10.9,12.0,103.0
373,CN1210500000000,12.0,105.0,"Polk County, FL",10,279126.0,245114.0,34012.0,12.2,12.0,105.0
374,CN1210700000000,12.0,107.0,"Putnam County, FL",10,30598.0,26482.0,4116.0,13.5,12.0,107.0
375,CN1210900000000,12.0,109.0,"St. Johns County, FL",10,99312.0,90602.0,8710.0,8.8,12.0,109.0
376,CN1211100000000,12.0,111.0,"St. Lucie County, FL",10,128978.0,111177.0,17801.0,13.8,12.0,111.0
377,CN1211300000000,12.0,113.0,"Santa Rosa County, FL",10,71476.0,64827.0,6649.0,9.3,12.0,113.0
378,CN1211500000000,12.0,115.0,"Sarasota County, FL",10,167629.0,148093.0,19536.0,11.7,12.0,115.0
379,CN1211700000000,12.0,117.0,"Seminole County, FL",10,231195.0,206538.0,24657.0,10.7,12.0,117.0
380,CN1211900000000,12.0,119.0,"Sumter County, FL",10,25379.0,21994.0,3385.0,13.3,12.0,119.0
381,CN1212100000000,12.0,121.0,"Suwannee County, FL",10,19187.0,17297.0,1890.0,9.9,12.0,121.0
382,CN1212300000000,12.0,123.0,"Taylor County, FL",10,9492.0,8486.0,1006.0,10.6,12.0,123.0
383,CN1212500000000,12.0,125.0,"Union County, FL",10,5490.0,5022.0,468.0,8.5,12.0,125.0
384,CN1212700000000,12.0,127.0,"Volusia County, FL",10,238795.0,209364.0,29431.0,12.3,12.0,127.0
385,CN1212900000000,12.0,129.0,"Wakulla County, FL",10,14619.0,13392.0,1227.0,8.4,12.0,129.0
386,CN1213100000000,12.0,131.0,"Walton County, FL",10,26042.0,23588.0,2454.0,9.4,12.0,131.0
387,CN1213300000000,12.0,133.0,"Washington County, FL",10,10317.0,9227.0,1090.0,10.6,12.0,133.0
388,CN1300100000000,13.0,1.0,"Appling County, GA",10,8726.0,7706.0,1020.0,11.7,13.0,1.0
389,CN1300300000000,13.0,3.0,"Atkinson County, GA",10,3442.0,2924.0,518.0,15.0,13.0,3.0
390,CN1300500000000,13.0,5.0,"Bacon County, GA",10,4532.0,4056.0,476.0,10.5,13.0,5.0
391,CN1300700000000,13.0,7.0,"Baker County, GA",10,1230.0,1082.0,148.0,12.0,13.0,7.0
392,CN1300900000000,13.0,9.0,"Baldwin County, GA",10,19143.0,16234.0,2909.0,15.2,13.0,9.0
393,CN1301100000000,13.0,11.0,"Banks County, GA",10,8441.0,7636.0,805.0,9.5,13.0,11.0
394,CN1301300000000,13.0,13.0,"Barrow County, GA",10,34610.0,30921.0,3689.0,10.7,13.0,13.0
395,CN1301500000000,13.0,15.0,"Bartow County, GA",10,47729.0,41983.0,5746.0,12.0,13.0,15.0
396,CN1301700000000,13.0,17.0,"Ben Hill County, GA",10,6497.0,5478.0,1019.0,15.7,13.0,17.0
397,CN1301900000000,13.0,19.0,"Berrien County, GA",10,7970.0,6947.0,1023.0,12.8,13.0,19.0
398,CN1302100000000,13.0,21.0,"Bibb County, GA",10,70065.0,62017.0,8048.0,11.5,13.0,21.0
399,CN1302300000000,13.0,23.0,"Bleckley County, GA",10,5462.0,4790.0,672.0,12.3,13.0,23.0
400,CN1302500000000,13.0,25.0,"Brantley County, GA",10,7452.0,6513.0,939.0,12.6,13.0,25.0
401,CN1302700000000,13.0,27.0,"Brooks County, GA",10,7295.0,6602.0,693.0,9.5,13.0,27.0
402,CN1302900000000,13.0,29.0,"Bryan County, GA",10,14427.0,13063.0,1364.0,9.5,13.0,29.0
403,CN1303100000000,13.0,31.0,"Bulloch County, GA",10,33080.0,29785.0,3295.0,10.0,13.0,31.0
404,CN1303300000000,13.0,33.0,"Burke County, GA",10,9769.0,8596.0,1173.0,12.0,13.0,33.0
405,CN1303500000000,13.0,35.0,"Butts County, GA",10,10470.0,9283.0,1187.0,11.3,13.0,35.0
406,CN1303700000000,13.0,37.0,"Calhoun County, GA",10,2615.0,2389.0,226.0,8.6,13.0,37.0
407,CN1303900000000,13.0,39.0,"Camden County, GA",10,20658.0,18632.0,2026.0,9.8,13.0,39.0
408,CN1304300000000,13.0,43.0,"Candler County, GA",10,4908.0,4479.0,429.0,8.7,13.0,43.0
409,CN1304500000000,13.0,45.0,"Carroll County, GA",10,51717.0,45735.0,5982.0,11.6,13.0,45.0
410,CN1304700000000,13.0,47.0,"Catoosa County, GA",10,31295.0,28648.0,2647.0,8.5,13.0,47.0
411,CN1304900000000,13.0,49.0,"Charlton County, GA",10,4787.0,4286.0,501.0,10.5,13.0,49.0
412,CN1305100000000,13.0,51.0,"Chatham County, GA",10,127115.0,114712.0,12403.0,9.8,13.0,51.0
413,CN1305300000000,13.0,53.0,"Chattahoochee County, GA",10,2214.0,1975.0,239.0,10.8,13.0,53.0
414,CN1305500000000,13.0,55.0,"Chattooga County, GA",10,10645.0,9419.0,1226.0,11.5,13.0,55.0
415,CN1305700000000,13.0,57.0,"Cherokee County, GA",10,112370.0,102627.0,9743.0,8.7,13.0,57.0
416,CN1305900000000,13.0,59.0,"Clarke County, GA",10,56529.0,51331.0,5198.0,9.2,13.0,59.0
417,CN1306100000000,13.0,61.0,"Clay County, GA",10,1099.0,973.0,126.0,11.5,13.0,61.0
418,CN1306300000000,13.0,63.0,"Clayton County, GA",10,124879.0,108180.0,16699.0,13.4,13.0,63.0
419,CN1306500000000,13.0,65.0,"Clinch County, GA",10,2893.0,2577.0,316.0,10.9,13.0,65.0
420,CN1306700000000,13.0,67.0,"Cobb County, GA",10,379560.0,344671.0,34889.0,9.2,13.0,67.0
421,CN1306900000000,13.0,69.0,"Coffee County, GA",10,17153.0,14476.0,2677.0,15.6,13.0,69.0
422,CN1307100000000,13.0,71.0,"Colquitt County, GA",10,21274.0,19237.0,2037.0,9.6,13.0,71.0
423,CN1307300000000,13.0,73.0,"Columbia County, GA",10,61424.0,56994.0,4430.0,7.2,13.0,73.0
424,CN1307500000000,13.0,75.0,"Cook County, GA",10,7867.0,6962.0,905.0,11.5,13.0,75.0
425,CN1307700000000,13.0,77.0,"Coweta County, GA",10,64223.0,58062.0,6161.0,9.6,13.0,77.0
426,CN1307900000000,13.0,79.0,"Crawford County, GA",10,5761.0,5106.0,655.0,11.4,13.0,79.0
427,CN1308100000000,13.0,81.0,"Crisp County, GA",10,9184.0,7897.0,1287.0,14.0,13.0,81.0
428,CN1308300000000,13.0,83.0,"Dade County, GA",10,8334.0,7620.0,714.0,8.6,13.0,83.0
429,CN1308500000000,13.0,85.0,"Dawson County, GA",10,10944.0,9765.0,1179.0,10.8,13.0,85.0
430,CN1308700000000,13.0,87.0,"Decatur County, GA",10,12416.0,10890.0,1526.0,12.3,13.0,87.0
431,CN1308900000000,13.0,89.0,"DeKalb County, GA",10,362211.0,323499.0,38712.0,10.7,13.0,89.0
432,CN1309100000000,13.0,91.0,"Dodge County, GA",10,8343.0,7267.0,1076.0,12.9,13.0,91.0
433,CN1309300000000,13.0,93.0,"Dooly County, GA",10,4949.0,4384.0,565.0,11.4,13.0,93.0
434,CN1309500000000,13.0,95.0,"Dougherty County, GA",10,41402.0,36261.0,5141.0,12.4,13.0,95.0
435,CN1309700000000,13.0,97.0,"Douglas County, GA",10,66433.0,59073.0,7360.0,11.1,13.0,97.0
436,CN1309900000000,13.0,99.0,"Early County, GA",10,4468.0,3950.0,518.0,11.6,13.0,99.0
437,CN1310100000000,13.0,101.0,"Echols County, GA",10,1873.0,1721.0,152.0,8.1,13.0,101.0
438,CN1310300000000,13.0,103.0,"Effingham County, GA",10,25733.0,23297.0,2436.0,9.5,13.0,103.0
439,CN1310500000000,13.0,105.0,"Elbert County, GA",10,8909.0,7601.0,1308.0,14.7,13.0,105.0
440,CN1310700000000,13.0,107.0,"Emanuel County, GA",10,9097.0,7941.0,1156.0,12.7,13.0,107.0
441,CN1310900000000,13.0,109.0,"Evans County, GA",10,4761.0,4334.0,427.0,9.0,13.0,109.0
442,CN1311100000000,13.0,111.0,"Fannin County, GA",10,10250.0,9066.0,1184.0,11.6,13.0,111.0
443,CN1311300000000,13.0,113.0,"Fayette County, GA",10,52840.0,48536.0,4304.0,8.1,13.0,113.0
444,CN1311500000000,13.0,115.0,"Floyd County, GA",10,45003.0,39727.0,5276.0,11.7,13.0,115.0
445,CN1311700000000,13.0,117.0,"Forsyth County, GA",10,88190.0,81204.0,6986.0,7.9,13.0,117.0
446,CN1311900000000,13.0,119.0,"Franklin County, GA",10,9678.0,8463.0,1215.0,12.6,13.0,119.0
447,CN1312100000000,13.0,121.0,"Fulton County, GA",10,483975.0,434063.0,49912.0,10.3,13.0,121.0
448,CN1312300000000,13.0,123.0,"Gilmer County, GA",10,12784.0,11359.0,1425.0,11.1,13.0,123.0
449,CN1312500000000,13.0,125.0,"Glascock County, GA",10,1321.0,1177.0,144.0,10.9,13.0,125.0
450,CN1312700000000,13.0,127.0,"Glynn County, GA",10,38272.0,34488.0,3784.0,9.9,13.0,127.0
451,CN1312900000000,13.0,129.0,"Gordon County, GA",10,26006.0,22736.0,3270.0,12.6,13.0,129.0
452,CN1313100000000,13.0,131.0,"Grady County, GA",10,10378.0,9303.0,1075.0,10.4,13.0,131.0
453,CN1313300000000,13.0,133.0,"Greene County, GA",10,6397.0,5564.0,833.0,13.0,13.0,133.0
454,CN1313500000000,13.0,135.0,"Gwinnett County, GA",10,417688.0,379573.0,38115.0,9.1,13.0,135.0
455,CN1313700000000,13.0,137.0,"Habersham County, GA",10,18308.0,16380.0,1928.0,10.5,13.0,137.0
456,CN1313900000000,13.0,139.0,"Hall County, GA",10,86388.0,78161.0,8227.0,9.5,13.0,139.0
457,CN1314100000000,13.0,141.0,"Hancock County, GA",10,3094.0,2392.0,702.0,22.7,13.0,141.0
458,CN1314300000000,13.0,143.0,"Haralson County, GA",10,12357.0,10859.0,1498.0,12.1,13.0,143.0
459,CN1314500000000,13.0,145.0,"Harris County, GA",10,16388.0,15140.0,1248.0,7.6,13.0,145.0
460,CN1314700000000,13.0,147.0,"Hart County, GA",10,10935.0,9692.0,1243.0,11.4,13.0,147.0
461,CN1314900000000,13.0,149.0,"Heard County, GA",10,5238.0,4613.0,625.0,11.9,13.0,149.0
462,CN1315100000000,13.0,151.0,"Henry County, GA",10,100933.0,90634.0,10299.0,10.2,13.0,151.0
463,CN1315300000000,13.0,153.0,"Houston County, GA",10,66977.0,61386.0,5591.0,8.3,13.0,153.0
464,CN1315500000000,13.0,155.0,"Irwin County, GA",10,3666.0,3134.0,532.0,14.5,13.0,155.0
465,CN1315700000000,13.0,157.0,"Jackson County, GA",10,28596.0,25645.0,2951.0,10.3,13.0,157.0
466,CN1315900000000,13.0,159.0,"Jasper County, GA",10,6857.0,6065.0,792.0,11.6,13.0,159.0
467,CN1316100000000,13.0,161.0,"Jeff Davis County, GA",10,6356.0,5554.0,802.0,12.6,13.0,161.0
468,CN1316300000000,13.0,163.0,"Jefferson County, GA",10,7139.0,6147.0,992.0,13.9,13.0,163.0
469,CN1316500000000,13.0,165.0,"Jenkins County, GA",10,3220.0,2736.0,484.0,15.0,13.0,165.0
470,CN1316700000000,13.0,167.0,"Johnson County, GA",10,4230.0,3779.0,451.0,10.7,13.0,167.0
471,CN1316900000000,13.0,169.0,"Jones County, GA",10,13671.0,12359.0,1312.0,9.6,13.0,169.0
472,CN1317100000000,13.0,171.0,"Lamar County, GA",10,8139.0,6994.0,1145.0,14.1,13.0,171.0
473,CN1317300000000,13.0,173.0,"Lanier County, GA",10,3867.0,3462.0,405.0,10.5,13.0,173.0
474,CN1317500000000,13.0,175.0,"Laurens County, GA",10,20551.0,17869.0,2682.0,13.1,13.0,175.0
475,CN1317700000000,13.0,177.0,"Lee County, GA",10,14320.0,13039.0,1281.0,8.9,13.0,177.0
476,CN1317900000000,13.0,179.0,"Liberty County, GA",10,26883.0,24479.0,2404.0,8.9,13.0,179.0
477,CN1318100000000,13.0,181.0,"Lincoln County, GA",10,3674.0,3255.0,419.0,11.4,13.0,181.0
478,CN1318300000000,13.0,183.0,"Long County, GA",10,6221.0,5703.0,518.0,8.3,13.0,183.0
479,CN1318500000000,13.0,185.0,"Lowndes County, GA",10,50935.0,46094.0,4841.0,9.5,13.0,185.0
480,CN1318700000000,13.0,187.0,"Lumpkin County, GA",10,14679.0,13176.0,1503.0,10.2,13.0,187.0
481,CN1318900000000,13.0,189.0,"McDuffie County, GA",10,9425.0,8199.0,1226.0,13.0,13.0,189.0
482,CN1319100000000,13.0,191.0,"McIntosh County, GA",10,6276.0,5622.0,654.0,10.4,13.0,191.0
483,CN1319300000000,13.0,193.0,"Macon County, GA",10,5369.0,4669.0,700.0,13.0,13.0,193.0
484,CN1319500000000,13.0,195.0,"Madison County, GA",10,13353.0,11978.0,1375.0,10.3,13.0,195.0
485,CN1319700000000,13.0,197.0,"Marion County, GA",10,3715.0,3324.0,391.0,10.5,13.0,197.0
486,CN1319900000000,13.0,199.0,"Meriwether County, GA",10,9314.0,8050.0,1264.0,13.6,13.0,199.0
487,CN1320100000000,13.0,201.0,"Miller County, GA",10,2799.0,2511.0,288.0,10.3,13.0,201.0
488,CN1320500000000,13.0,205.0,"Mitchell County, GA",10,9626.0,8597.0,1029.0,10.7,13.0,205.0
489,CN1320700000000,13.0,207.0,"Monroe County, GA",10,12529.0,11267.0,1262.0,10.1,13.0,207.0
